task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,rac1p_equalized_odds_diff,sex_equalized_odds_diff,rac1p_x_sex_equalized_odds_diff
ACSEmployment,geographic,full,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,erm,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,full,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,feature_mixing,0.19302285327793262,0.06835368364837002,0.28870549739720575
ACSEmployment,geographic,full,mcar,train_and_prediction,protected_group_mixing,0.1953443425419875,0.06582562365724692,0.28855896556047234
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.19747386354038918,0.06560860009759054,0.29101606065439584
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.19634502610149743,0.06572831121613341,0.28924261019378444
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.1982701631107265,0.06576984172757992,0.28856033127158504
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.19606300979750071,0.06597772027842409,0.28774516950045065
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.1965009705643325,0.06562957790741032,0.2876144400446314
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.19745602513592217,0.06554515328678817,0.2882099764257339
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.19561763732028825,0.06573074827575724,0.2894182902517829
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.195731093245055,0.0657069063052121,0.2869480925127441
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,protected_group_mixing,0.19629819732470344,0.0658719569787569,0.28958551143075667
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,protected_group_mixing,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,full,mcar,train_and_prediction,reweighing,0.19349234017026493,0.06716220174537375,0.2889513888220565
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,reweighing,0.1949257318477234,0.06688880805129356,0.28901081643891663
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,reweighing,0.19550253000414042,0.06687433021504571,0.28952613265160426
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,reweighing,0.1933715159626968,0.06685664105121977,0.28893419814675664
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,reweighing,0.19458869023114672,0.067196067961558,0.2893370050782561
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,reweighing,0.19391286909375793,0.06692773173956634,0.2895746276367687
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,reweighing,0.1942439091402591,0.06703970338715536,0.28830319473849203
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,reweighing,0.19523280081307864,0.06664064840076257,0.28802160279078903
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,reweighing,0.19469973948371735,0.06676880706571942,0.28764788570286715
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,reweighing,0.1950268937784531,0.06701196598948843,0.28729107019152655
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,reweighing,0.19389710823706047,0.06661184942412794,0.28966904727034
ACSEmployment,geographic,full,mcar,train_and_prediction,threshold_optimizer_eo,0.1609924390782766,0.018147471620121144,0.23023529366742992
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.16778067255975915,0.04200792863692609,0.23482443716597454
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.16873783185021574,0.03609158347022565,0.23735390077404542
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.17484379115041473,0.03087214026076144,0.23752890518256906
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.17066145226968882,0.0273704352885959,0.23110262159023473
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.17347675010128802,0.025685309708783906,0.23738338902455994
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,threshold_optimizer_eo,0.1680275447518951,0.020100120328040254,0.23321587295333657
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.18101214989309813,0.04128711010838388,0.25299271809565566
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.1687049044176359,0.03434283458283984,0.2346853428289989
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,threshold_optimizer_eo,0.16918313525115894,0.02327493498313112,0.23774442915759533
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,threshold_optimizer_eo,0.19830506542623672,0.06467380575244831,0.2906877417998163
ACSEmployment,temporal,full,mcar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
ACSEmployment,temporal,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.23363818834237607,0.06549917879618264,0.33864535521459105
