method,missingness_name,missingness_mechanism,missingness_scope,availability_bucket,single_axis,fairness_metric,n_single_axis_improvements,n_hidden_regressions,hidden_regression_rate
feature_mixing,none_observed,mcar,train_and_prediction,0.0,RAC1P,demographic_parity,100,43,0.43
feature_mixing,none_observed,mcar,train_and_prediction,0.0,SEX,demographic_parity,4,1,0.25
feature_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,SEX,demographic_parity,4,1,0.25
feature_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,SEX,demographic_parity,4,1,0.25
feature_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,SEX,demographic_parity,4,1,0.25
feature_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,SEX,demographic_parity,4,1,0.25
feature_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,SEX,demographic_parity,4,1,0.25
feature_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,SEX,demographic_parity,4,1,0.25
feature_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,SEX,demographic_parity,4,1,0.25
feature_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,SEX,demographic_parity,4,1,0.25
feature_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,RAC1P,demographic_parity,100,43,0.43
feature_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,SEX,demographic_parity,4,1,0.25
feature_mixing,full,mcar,train_and_prediction,1.0,RAC1P,demographic_parity,100,43,0.43
feature_mixing,full,mcar,train_and_prediction,1.0,SEX,demographic_parity,4,1,0.25
feature_mixing,none_observed,mcar,train_and_prediction,0.0,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,none_observed,mcar,train_and_prediction,0.0,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,SEX,equalized_odds,39,26,0.6666666666666666
feature_mixing,full,mcar,train_and_prediction,1.0,RAC1P,equalized_odds,166,65,0.39156626506024095
feature_mixing,full,mcar,train_and_prediction,1.0,SEX,equalized_odds,39,26,0.6666666666666666
protected_group_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,RAC1P,demographic_parity,198,102,0.5151515151515151
protected_group_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,SEX,demographic_parity,43,29,0.6744186046511628
protected_group_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,RAC1P,demographic_parity,214,110,0.514018691588785
protected_group_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,SEX,demographic_parity,51,33,0.6470588235294118
protected_group_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,RAC1P,demographic_parity,188,92,0.48936170212765956
protected_group_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,SEX,demographic_parity,42,25,0.5952380952380952
protected_group_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,RAC1P,demographic_parity,179,93,0.5195530726256983
protected_group_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,SEX,demographic_parity,56,37,0.6607142857142857
protected_group_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,RAC1P,demographic_parity,181,85,0.4696132596685083
protected_group_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,SEX,demographic_parity,42,23,0.5476190476190477
protected_group_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,RAC1P,demographic_parity,167,70,0.41916167664670656
protected_group_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,SEX,demographic_parity,39,22,0.5641025641025641
protected_group_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,RAC1P,demographic_parity,186,88,0.4731182795698925
protected_group_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,SEX,demographic_parity,34,22,0.6470588235294118
protected_group_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,RAC1P,demographic_parity,177,88,0.4971751412429379
protected_group_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,SEX,demographic_parity,43,18,0.4186046511627907
protected_group_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,RAC1P,demographic_parity,155,61,0.3935483870967742
protected_group_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,SEX,demographic_parity,45,20,0.4444444444444444
protected_group_mixing,full,mcar,train_and_prediction,1.0,RAC1P,demographic_parity,176,78,0.4431818181818182
protected_group_mixing,full,mcar,train_and_prediction,1.0,SEX,demographic_parity,44,27,0.6136363636363636
protected_group_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,RAC1P,equalized_odds,208,117,0.5625
protected_group_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,SEX,equalized_odds,39,27,0.6923076923076923
protected_group_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,RAC1P,equalized_odds,239,125,0.5230125523012552
protected_group_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,SEX,equalized_odds,36,25,0.6944444444444444
protected_group_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,RAC1P,equalized_odds,213,94,0.4413145539906103
