method,missingness_name,missingness_mechanism,missingness_scope,availability_bucket,metric,n_runs,delta_missing_vs_oracle,delta_missing_vs_erm,delta_missing_vs_feature_mixing
protected_group_mixing,none_observed,mcar,train_and_prediction,0.0,accuracy,560,0.0013377927684398653,0.0,0.000643823931256877
protected_group_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,accuracy,560,-0.0016210571540615098,-0.002958849922501382,-0.0023150259912445084
protected_group_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,accuracy,560,-0.002254196319815742,-0.0035919890882556158,-0.0029481651569987404
protected_group_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,accuracy,560,-0.0011724295248861593,-0.002510222293326029,-0.0018663983620691568
protected_group_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,accuracy,560,-0.0017436725422558857,-0.0030814653106957623,-0.0024376413794388848
protected_group_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,accuracy,560,-0.0005549220810782854,-0.0018927148495181544,-0.0012488909182612794
protected_group_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,accuracy,560,-0.00030971200329490717,-0.0016475047717347743,-0.0010036808404778987
protected_group_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,accuracy,560,-0.0009627910793608478,-0.0023005838478007204,-0.0016567599165438422
protected_group_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,accuracy,560,-0.0003056298138795071,-0.0016434225823193742,-0.0009995986510624984
protected_group_mixing,mcar_80_train_prediction,mcar,train_and_prediction,0.8,accuracy,560,-2.774453145245234e-05,-0.0013655372998923171,-0.0007217133686354436
protected_group_mixing,none_observed,mcar,train_and_prediction,0.0,balanced_accuracy,560,-0.0004290907074194682,0.0,-0.004053831648802924
protected_group_mixing,mcar_10_train_prediction,mcar,train_and_prediction,0.1,balanced_accuracy,560,-0.003919526164278217,-0.0034904354568587527,-0.007544267105661687
protected_group_mixing,mnar_10_train_prediction,mnar,train_and_prediction,0.1,balanced_accuracy,560,-0.00511173187202942,-0.004682641164609957,-0.008736472813412896
protected_group_mixing,mcar_20_train_prediction,mcar,train_and_prediction,0.2,balanced_accuracy,560,-0.0028670151612896237,-0.002437924453870159,-0.006491756102673089
protected_group_mixing,mnar_20_train_prediction,mnar,train_and_prediction,0.2,balanced_accuracy,560,-0.003929742544910486,-0.0035006518374910258,-0.0075544834862939616
protected_group_mixing,mcar_40_train_prediction,mcar,train_and_prediction,0.4,balanced_accuracy,560,-0.0012673964943411035,-0.0008383057869216417,-0.004892137435724567
protected_group_mixing,mcar_50_train_prediction,mcar,train_and_prediction,0.5,balanced_accuracy,560,-0.0008917479479601386,-0.0004626572405406697,-0.004516488889343602
protected_group_mixing,mnar_50_train_prediction,mnar,train_and_prediction,0.5,balanced_accuracy,560,-0.0024759263618198786,-0.0020468356544004135,-0.006100667303203346
protected_group_mixing,mcar_60_train_prediction,mcar,train_and_prediction,0.6,balanced_accuracy,560,-0.0006671695625221605,-0.00023807885510269372,-0.0042919105039056216
