task,split_mode,missingness_name,missingness_mechanism,missingness_scope,method,accuracy,balanced_accuracy,brier,fit_seconds
ACSEmployment,geographic,full,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.485741521806812
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.17445674348503
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.207723552089533
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.192371216895356
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.21123408521618
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.169289190136006
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.160900987492468
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.200160111016856
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.21056387907393
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.162474524639393
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,erm,0.820198,0.8229165614974954,0.13270546856801432,16.200998264904367
ACSEmployment,geographic,full,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.94201407801684
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.2760902807554
ACSEmployment,geographic,mcar_20_train_prediction,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.44945132947409
ACSEmployment,geographic,mcar_40_train_prediction,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.37054928547637
ACSEmployment,geographic,mcar_50_train_prediction,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.41372504781536
ACSEmployment,geographic,mcar_60_train_prediction,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.39399861469417
ACSEmployment,geographic,mcar_80_train_prediction,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.49212551775925
ACSEmployment,geographic,mnar_10_train_prediction,mnar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.41580323386086
ACSEmployment,geographic,mnar_20_train_prediction,mnar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.46793516071828
ACSEmployment,geographic,mnar_50_train_prediction,mnar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.31240828452928
ACSEmployment,geographic,none_observed,mcar,train_and_prediction,feature_mixing,0.82085,0.8242492611138269,0.13177074204415812,94.37617891513086
ACSEmployment,geographic,full,mcar,train_and_prediction,protected_group_mixing,0.8203026666666667,0.8234802449363242,0.13211749396722677,92.85108858679324
ACSEmployment,geographic,mcar_10_train_prediction,mcar,train_and_prediction,protected_group_mixing,0.819842,0.8229849385038351,0.13262347545260827,89.60482547013491
